ID,smiles,solvent_smiles,ratio,value,temp
262,[*]CC([*])c1ccccc1,C1CCOC1,5.587240154,-4.91721958,301.5
263,[*]CC([*])c1ccccc1,C1CCOC1,7.366563593,-4.889342112,301.5
264,[*]CC([*])c1ccccc1,C1CCOC1,12.21774357,-4.835623705,301.5
265,COC(=O)C([*])C[*],CC(=O)OC,0.012980518,-7.923611064,308
266,COC(=O)C([*])C[*],CC(=O)OC,0.032058616,-7.402541763,308
267,COC(=O)C([*])C[*],CC(=O)OC,0.058151617,-7.255687651,308
268,COC(=O)C([*])C[*],CC(=O)OC,0.088769866,-6.757151565,308
269,[*]CC([*])C1=CC=CC=C1,CC1=CC=CC=C1,0.304764543,-5.791178941,338
270,[*]CC([*])C1=CC=CC=C1,CC1=CC=CC=C1,0.454730811,-5.316991609,338
271,[*]CC([*])C1=CC=CC=C1,CC1=CC=CC=C1,0.588745073,-5.230037278,338
272,[*]CC([*])C1=CC=CC=C1,CC1=CC=CC=C1,0.755362754,-4.979408777,338
273,[*]CC([*])C1=CC=CC=C1,CC1=CC=CC=C1,0.833153769,-4.925443127,338
274,[*]CC([*])C1=CC=CC=C1,CC1=CC=CC=C1,1.423658712,-4.701459181,338
275,[*]CC([*])C1=CC=CC=C1,CC1=CC=CC=C1,1.944665709,-4.595759921,338
276,[*]CC([*])C1=CC=CC=C1,CC1=CC=CC=C1,3.15500335,-4.543480045,338
277,[*]CC([*])C1=CC=CC=C1,CC1=CC=CC=C1,4.614861763,-4.465695451,338
278,[*]CC([*])C1=CC=CC=C1,CC1=CC=CC=C1,6.366986937,-4.401975362,338
279,"	[*]CC([*])OC(C)=O",CC1=CC=CC=C1,0.019532674,-6.655606126,353
280,"	[*]CC([*])OC(C)=O",CC1=CC=CC=C1,0.049927073,-6.457172478,353
281,"	[*]CC([*])OC(C)=O",CC1=CC=CC=C1,0.088535427,-6.136629219,353
282,"	[*]CC([*])OC(C)=O",CC1=CC=CC=C1,0.150969735,-5.512242851,353
283,"	[*]CC([*])OC(C)=O",CC1=CC=CC=C1,0.26316614,-5.334131936,353
284,"	[*]CC([*])OC(C)=O",CC1=CC=CC=C1,0.367250778,-5.17672495,353
285,"	[*]CC([*])OC(C)=O",CC1=CC=CC=C1,0.011903559,-6.069885943,383
286,"	[*]CC([*])OC(C)=O",CC1=CC=CC=C1,0.036901017,-5.931799434,383
287,"	[*]CC([*])OC(C)=O",CC1=CC=CC=C1,0.069395257,-5.683310973,383
288,"	[*]CC([*])OC(C)=O",CC1=CC=CC=C1,0.109364562,-5.426541905,383
289,"	[*]CC([*])OC(C)=O",CC1=CC=CC=C1,0.164862892,-5.28845446,383
290,"	[*]CC([*])OC(C)=O",CC1=CC=CC=C1,0.260829369,-5.122590349,383
291,"	[*]CC([*])OC(C)=O",CC1=CC=CC=C1,0.417528786,-4.826696843,383
292,"	[*]CC([*])OC(C)=O",CC1=CC=CC=C1,0.741225142,-4.559815554,383
293,[*]CC([*])C1=CC=CC=C1,CCC1=CC=CC=C1,0.007081154,-6.481595148,403
294,[*]CC([*])C1=CC=CC=C1,CCC1=CC=CC=C1,0.034962913,-6.078082848,403
295,[*]CC([*])C1=CC=CC=C1,CCC1=CC=CC=C1,0.057616683,-6.150561423,403
296,[*]CC([*])C1=CC=CC=C1,CCC1=CC=CC=C1,0.08122202,-5.823319604,403
297,[*]CC([*])C1=CC=CC=C1,CCC1=CC=CC=C1,0.177951482,-5.391236095,403
298,[*]CC([*])C1=CC=CC=C1,CCC1=CC=CC=C1,0.25184481,-5.152714596,403
299,[*]CC([*])C1=CC=CC=C1,CCC1=CC=CC=C1,0.320590152,-4.889246056,403
300,[*]CC([*])C1=CC=CC=C1,CCC1=CC=CC=C1,0.370267154,-5.000019471,403
301,[*]CC([*])C1=CC=CC=C1,CCC1=CC=CC=C1,0.446584978,-4.815546713,403
302,[*]CC([*])C1=CC=CC=C1,CCC1=CC=CC=C1,0.684398275,-4.712736716,403
303,[*]CC([*])C1=CC=CC=C1,CCC1=CC=CC=C1,0.976058581,-4.588224052,403
304,"	[*]CC([*])OC(C)=O",C(Cl)(Cl)Cl,0.050774342,-7.250125785,318
305,"	[*]CC([*])OC(C)=O",C(Cl)(Cl)Cl,0.119501725,-6.657089142,318
306,"	[*]CC([*])OC(C)=O",C(Cl)(Cl)Cl,0.137224713,-6.07347867,318
307,"	[*]CC([*])OC(C)=O",C(Cl)(Cl)Cl,0.200019072,-5.986873619,318
308,"	[*]CC([*])OC(C)=O",C(Cl)(Cl)Cl,0.230633806,-5.991350422,318
309,"	[*]CC([*])OC(C)=O",C(Cl)(Cl)Cl,0.260558821,-5.960853574,318
310,"	[*]CC([*])OC(C)=O",C(Cl)(Cl)Cl,0.298571034,-5.739529464,318
311,"	[*]CC([*])OC(C)=O",C(Cl)(Cl)Cl,0.387938272,-5.583965341,318
312,"	[*]CC([*])OC(C)=O",C(Cl)(Cl)Cl,0.651409219,-5.149693269,318
313,"	[*]CC([*])OC(C)=O",C(Cl)(Cl)Cl,0.714162547,-5.045278829,318
314,[*]CC([*])C1=CC=CC=C1,C1=CC=CC=C1,0.342674565,-5.212074167,373
315,[*]CC([*])C1=CC=CC=C1,C1=CC=CC=C1,0.456366139,-4.997192946,373
316,[*]CC([*])C1=CC=CC=C1,C1=CC=CC=C1,0.586830753,-4.729177407,373
317,[*]CC([*])C1=CC=CC=C1,C1=CC=CC=C1,0.719493451,-4.707225432,373
318,[*]CC([*])C1=CC=CC=C1,C1=CC=CC=C1,0.905495863,-4.576742005,373
319,[*]CC([*])C1=CC=CC=C1,C1=CC=CC=C1,1.103633817,-4.561700937,373
320,[*]CC([*])C1=CC=CC=C1,C1=CC=CC=C1,1.350258543,-4.500329999,373
321,[*]CC([*])C1=CC=CC=C1,C1=CC=CC=C1,1.628220266,-4.346038595,373
322,[*]CC([*])C1=CC=CC=C1,C1=CC=CC=C1,2.060766919,-4.315186588,373
323,[*]CC([*])C1=CC=CC=C1,C1=CC=CC=C1,2.498364765,-4.302005564,373
324,[*]CC([*])C1=CC=CC=C1,C1=CC=CC=C1,3.117131255,-4.2428994,373
325,[*]CC([*])C1=CC=CC=C1,C1=CC=CC=C1,4.130066325,-4.124792625,373
326,[*]CC([*])C1=CC=CC=C1,C1=CC=CC=C1,5.418150435,-4.209038516,373
327,[*]CC([*])C1=CC=CC=C1,C1=CC=CC=C1,7.719249549,-4.106108026,373
328,[*]CC([*])C1=CC=CC=C1,C1=CC=CC=C1,12.1431277,-4.078827574,373
329,[*]CC([*])C1=CC=CC=C1,C1=CC=CC=C1,28.17100188,-3.994429578,373
330,[*]CC([*])C1=CC=CC=C1,C1CCOC1,1.089641146,-5.328488429,323.2
331,[*]CC([*])C1=CC=CC=C1,C1CCOC1,3.948765605,-4.764546831,323.2
332,[*]CC([*])C1=CC=CC=C1,C1CCOC1,5.521825032,-4.690567195,323.2
333,[*]CC([*])C1=CC=CC=C1,C1CCOC1,7.268002149,-4.760990645,323.2
334,[*]CC([*])C1=CC=CC=C1,C1CCOC1,12.13051656,-4.665376863,323.2
335,[*]CC([*])C1=CC=CC=C1,C1CCOC1,1.097202921,-5.156117715,343.2
336,[*]CC([*])C1=CC=CC=C1,C1CCOC1,3.866689788,-4.638468932,343.2
337,[*]CC([*])C1=CC=CC=C1,C1CCOC1,5.688659825,-4.597976883,343.2
338,[*]CC([*])C1=CC=CC=C1,C1CCOC1,7.290644871,-4.580729253,343.2
339,[*]CC([*])C1=CC=CC=C1,C1CCOC1,12.62851457,-4.559107163,343.2
340,[*]CC([*])(C)C(=O)OC,CC1=CC=CC=C1,0.028592049,-6.970792692,413
341,[*]CC([*])(C)C(=O)OC,CC1=CC=CC=C1,0.073236517,-6.163033537,413
342,[*]CC([*])(C)C(=O)OC,CC1=CC=CC=C1,0.004097699,-7.618455914,433
343,[*]CC([*])(C)C(=O)OC,CC1=CC=CC=C1,0.012850113,-7.142028834,433
344,[*]CC([*])(C)C(=O)OC,CC1=CC=CC=C1,0.022095886,-6.663635219,433
345,[*]CC([*])(C)C(=O)OC,CC1=CC=CC=C1,0.03662668,-6.507728655,433
