smiles,Value
[*]CC([*])(Cl)C(=O)OC1CCCCC1,455.4296051
[*]Oc1ccc(Sc2ccc(OC([*])=O)cc2)cc1,411.7660602
[*]CC([*])c1ccc(Cl)cc1,431.10724
[*]C(F)(F)C1(F)C(F)(F)C([*])(F)C(F)(F)C1(F)F,375.301439
[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)CC)c(C)c2)cc1C,429.128706
[*]CC([*])c1ccccc1Cl,393.9238681
[*]CC([*])(C)C(=O)Oc1ccccc1,455.4781972
[*]CC([*])(C)C#N,366.1433725
[*]CC([*])c1cc(Cl)ccc1Cl,436.0121071
[*]CC([*])c1ccc(Cl)c(F)c1,372.837423
[*]c1ccc(OC(=O)Oc2ccc(C([*])CCC)cc2)cc1,357.3987848
[*]OCCOC(=O)c1ccc2cc(C([*])=O)ccc2c1,389.1320898
[*]CC([*])c1cccc(CO)c1,415.9720917
[*]CC([*])c1ccc(Cl)c(Cl)c1,399.3088459
[*]c1ccc(OC(=O)Oc2ccc(C([*])C)cc2)cc1,377.9274791
[*]CC([*])c1ccc(Cl)cc1Cl,352.5072977
[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)CC)cc2)cc1,391.8434116
[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)CCC)cc2)cc1,395.3178565
[*]OC(=O)Oc1ccc(C(C)(C)c2ccc([*])c(C)c2)cc1Cl,409.6907565
[*]Oc1cccc(OC(=O)c2cccc(C([*])=O)c2)c1,449.4140943
[*]CC([*])c1ccc(CO)cc1,318.9855763
[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)CC)c(Cl)c2)cc1Cl,393.9881531
[*]CC([*])c1ccncc1,476.827856
[*]CC([*])c1cc(C)ccc1C,417.0196419
[*]CC([*])c1ccc(Br)cc1,450.7799857
[*]CC([*])c1ccc(Cl)cc1C,502.5833235
[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)C)cc2Cl)cc1,437.066909
[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)C)c(Cl)c2)cc1Cl,399.396599
[*]Oc1ccc(Cc2ccc(OC([*])=O)cc2)cc1,375.48988
[*]Oc1ccc(C([*])=O)cc1,417.1276276
[*]c1ccc(OC(=O)Oc2ccc(C([*])C(C)C)cc2)cc1,375.8653749
[*]CC([*])n1c2ccccc2c2ccccc21,422.7305906
[*]CC([*])c1ccc2ccccc2c1,452.4161488
[*]Oc1ccc(C(=C(Cl)Cl)c2ccc(OC([*])=O)cc2)cc1,390.4492109
[*]CC([*])c1ccccc1CO,319.6190511
[*]CC([*])(C#N)C(=O)OC,451.2710598
[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)CCCC2)cc1,358.1842787
[*]OC(=O)c1ccc(C(=O)Oc2ccc(C(C)(C)c3ccc([*])c(C)c3)cc2C)cc1,477.9633107
[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)CCCCC2)cc1,433.9788618
[*]c1ccc(OC(=O)Oc2ccc(C([*])(C)c3ccccc3)cc2)cc1,389.0599057
[*]c1ccc(OC(=O)Oc2c(Cl)cc(C([*])(C)C)cc2Cl)cc1,399.2414187
[*]C(F)(F)C([*])(F)c1c(F)c(F)c(F)c(F)c1F,435.7466195
[*]OC(=O)Oc1cc(C)c(C(C)(C)c2c(C)cc([*])cc2C)c(C)c1,378.1952909
[*]C(F)(F)C([*])(F)c1ccccc1,458.4233528
[*]c1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C([*])(C)C)cc3)cc2)cc1,370.2304081
[*]Oc1c(C)cc([*])cc1C,430.9377227
[*]Oc1ccc(Sc2ccc(Oc3ccc4c(c3)C(=O)N(c3cccc(N5C(=O)c6ccc([*])cc6C5=O)c3)C4=O)cc2)cc1,500.4950331
[*]c1ccc(Oc2ccc3c(c2)C(=O)N(c2cccc(N4C(=O)c5ccc(Oc6ccc(C([*])(C)C)cc6)cc5C4=O)c2)C3=O)cc1,377.6171429
[*]c1ccc(Oc2ccc(-c3ccc(Oc4ccc(S([*])(=O)=O)cc4)cc3)cc2)cc1,441.4840912
[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)CC3CCC2C3)cc1,492.8947621
[*]C(=O)c1ccc(Oc2ccc3c(c2)C(=O)N(c2cccc(N4C(=O)c5ccc(Oc6ccc([*])cc6)cc5C4=O)c2)C3=O)cc1,359.6155706
[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)CC3CC2C2CCCC32)cc1,605.2702753
[*]c1cc(Br)c(OC(=O)Oc2c(Br)cc(C([*])(C)C)cc2Br)c(Br)c1,623.7348012
[*]c1ccc(Oc2ccc(-c3cc(-c4ccccc4)c4cc(Oc5ccc6nc([*])cc(-c7ccccc7)c6c5)ccc4n3)cc2)cc1,536.4002085
[*]c1cccc(-c2cc(-c3ccc(Oc4ccc(-c5cc([*])nc6ccccc56)cc4)cc3)c3ccccc3n2)c1,595.9214736
[*]c1ccc(-c2nnc(-c3cccc(-c4nnc([*])n4-c4ccccc4)c3)n2-c2ccccc2)cc1,651.0316198
[*]c1cccc(-c2nc3ccccc3c(-c3ccc(Oc4ccc(-c5c(-c6ccccc6)c([*])nc6ccccc56)cc4)cc3)c2-c2ccccc2)c1,531.651762
[*]Oc1ccc2nc(-c3ccc(-c4cc(-c5ccccc5)c5cc([*])ccc5n4)cc3)cc(-c3ccccc3)c2c1,550.4939494
[*]c1ccc(-c2ccc(-c3cnc4ccc(-c5ccc6ncc(-c7ccc([*])cc7)nc6c5)cc4n3)cc2)cc1,627.6283348
[*]c1ccc(-c2cnc3ccc(Oc4ccc5ncc([*])nc5c4)cc3n2)cc1,556.5826857
[*]c1ccc(-c2ccc(-c3cc(-c4ccccc4)c4cc(Oc5ccc6nc([*])cc(-c7ccccc7)c6c5)ccc4n3)cc2)cc1,570.2292182
[*]C(=O)c1ccc2ncc(-c3ccc(-c4cnc5ccc([*])cc5n4)cc3)nc2c1,574.5432886
[*]c1ccc(Oc2ccc(-c3cc(-c4ccc(Oc5ccc(-c6cc([*])c7ccccc7n6)cc5)cc4)nc4ccccc34)cc2)cc1,575.5907329
[*]Oc1ccc2nc(-c3ccc(-c4nc5ccc([*])cc5c(-c5ccccc5)c4-c4ccccc4)cc3)c(-c3ccccc3)c(-c3ccccc3)c2c1,556.8037025
[*]c1ccc(Oc2ccc(-c3c(-c4ccccc4)c(-c4ccc(Oc5ccc(-c6nc7ccccc7c([*])c6-c6ccccc6)cc5)cc4)nc4ccccc34)cc2)cc1,518.6072338
[*]Oc1ccc2nc(-c3ccc(-c4ccc(-c5nc6ccc([*])cc6c(-c6ccccc6)c5-c5ccccc5)cc4)cc3)c(-c3ccccc3)c(-c3ccccc3)c2c1,557.5462346
[*]c1ccc(Oc2ccc(-c3cnc4cc5ncc([*])nc5cc4n3)cc2)cc1,596.8823047
[*]c1ccc2nc(-c3ccccc3)c(-c3ccc(-c4nc5cc([*])ccc5nc4-c4ccccc4)cc3)nc2c1,509.8599432
[*]c1ccc(-c2cnc3ccc(-c4ccc5ncc([*])nc5c4)cc3n2)cc1,595.1605117
[*]c1ccc(-c2nc3cc4nc([*])c(-c5ccccc5)nc4cc3nc2-c2ccccc2)cc1,468.0763633
[*]c1cccc(-c2nc3cc4nc([*])c(-c5ccccc5)nc4cc3nc2-c2ccccc2)c1,637.7833652
