ID,smiles,value,gas
72,[*]CC(F)(F)C(F)(F)C1(F)OC(C(F)(F)F)(C(F)(F)F)OC1([*])F,2.465122059,O2
73,[*]C(F)(F)C(F)(F)CC1(F)OC(F)(F)OC1([*])OC(F)(F)F,9.44221019,CH4
74,[*]C(F)(F)C(F)(F)CC1(F)OC(F)(F)OC1([*])OC(F)(F)F,74.64630393,CO2
75,[*]C(F)(F)C(F)(F)CC1(F)OC(F)(F)OC1([*])OC(F)(F)F,1.485747369,N2
76,[*]C(F)(F)C(F)(F)CC1(F)OC(F)(F)OC1([*])OC(F)(F)F,2.341031608,O2
77,[*]CCC(F)(F)C([*])(F)F,11.17286139,CH4
78,[*]CCC(F)(F)C([*])(F)F,63.99385853,CO2
79,[*]CCC(F)(F)C([*])(F)F,1.78428842,N2
80,[*]CCC(F)(F)C([*])(F)F,2.746346083,O2
81,[*]C(F)(F)C([*])(F)F,6.251335021,CH4
82,[*]C(F)(F)C([*])(F)F,18.21298417,CO2
83,[*]C(F)(F)C([*])(F)F,1.112780955,N2
84,[*]C(F)(F)C([*])(F)F,1.64225397,O2
85,[*]C(F)(F)C(F)(F)C1(F)C(F)(F)C([*])(F)OC(F)(F)C1(F)F,2.062583596,CH4
86,[*]C(F)(F)C(F)(F)C1(F)C(F)(F)C([*])(F)OC(F)(F)C1(F)F,6.316972624,CO2
87,[*]C(F)(F)C(F)(F)C1(F)C(F)(F)C([*])(F)OC(F)(F)C1(F)F,0.375934028,N2
88,[*]C(F)(F)C(F)(F)C1(F)C(F)(F)C([*])(F)OC(F)(F)C1(F)F,0.582876106,O2
89,[*]CC([*])F,4.888801329,CH4
90,[*]CC([*])F,53.18575237,CO2
91,[*]CC([*])F,0.737066094,N2
92,[*]CC([*])F,1.163772708,O2
93,[*]C=CC1CC([*])C2C(=O)N(c3ccccc3)C(=O)C12,3.126552225,CH4
94,[*]C=CC1CC([*])C2C(=O)N(c3ccccc3)C(=O)C12,9.721168657,CO2
95,[*]C=CC1CC([*])C2C(=O)N(c3ccccc3)C(=O)C12,0.597076802,N2
96,[*]C=CC1CC([*])C2C(=O)N(c3ccccc3)C(=O)C12,0.918566782,O2
97,[*]C=CC1CC([*])C(C(F)(F)F)(C(F)(F)F)C1(F)F,2.062583596,CH4
98,[*]C=CC1CC([*])C(C(F)(F)F)(C(F)(F)F)C1(F)F,6.316972624,CO2
99,[*]C=CC1CC([*])C(C(F)(F)F)(C(F)(F)F)C1(F)F,0.375934028,N2
100,[*]C=CC1CC([*])C(C(F)(F)F)(C(F)(F)F)C1(F)F,0.582876106,O2
101,[*]C=CC1CC([*])C2C(=O)N(C34CC5CC(CC(C5)C3)C4)C(=O)C12,8.385187083,CH4
102,[*]C=CC1CC([*])C2C(=O)N(C34CC5CC(CC(C5)C3)C4)C(=O)C12,44.73134536,CO2
103,[*]C=CC1CC([*])C2C(=O)N(C34CC5CC(CC(C5)C3)C4)C(=O)C12,1.010965097,N2
104,[*]C=CC1CC([*])C2C(=O)N(C34CC5CC(CC(C5)C3)C4)C(=O)C12,1.902383933,O2
105,[*]C=CC1CC([*])C2C(=O)N(C3CCCCC3)C(=O)C12,1.393054085,CH4
106,[*]C=CC1CC([*])C2C(=O)N(C3CCCCC3)C(=O)C12,5.30139775,CO2
107,[*]C=CC1CC([*])C2C(=O)N(C3CCCCC3)C(=O)C12,0.218271352,N2
108,[*]C=CC1CC([*])C2C(=O)N(C3CCCCC3)C(=O)C12,0.416956055,O2
109,[*]C=CC1CC([*])CC1(C#N)CC,2.062583596,CH4
110,[*]C=CC1CC([*])CC1(C#N)CC,6.316972624,CO2
111,[*]C=CC1CC([*])CC1(C#N)CC,0.375934028,N2
112,[*]C=CC1CC([*])CC1(C#N)CC,0.582876106,O2
113,[*]C=CC1CC([*])CC1(C#N)CCC,2.146981218,CH4
114,[*]C=CC1CC([*])CC1(C#N)CCC,7.448946756,CO2
115,[*]C=CC1CC([*])CC1(C#N)CCC,0.404506886,N2
116,[*]C=CC1CC([*])CC1(C#N)CCC,0.643850879,O2
117,[*]C=CC1CC([*])CC1(C#N)CCCC,1.996458352,CH4
118,[*]C=CC1CC([*])CC1(C#N)CCCC,5.919489956,CO2
119,[*]C=CC1CC([*])CC1(C#N)CCCC,0.359534081,N2
120,[*]C=CC1CC([*])CC1(C#N)CCCC,0.572291996,O2
121,[*]C=CC1CC([*])CC1C#N,1.217532191,CH4
122,[*]C=CC1CC([*])CC1C#N,4.313165572,CO2
123,[*]C=CC1CC([*])CC1C#N,0.185919539,N2
124,[*]C=CC1CC([*])CC1C#N,0.380822667,O2
125,[*]C=CC1CC([*])CC1C(=O)OC,1.393054085,CH4
126,[*]C=CC1CC([*])CC1C(=O)OC,5.30139775,CO2
127,[*]C=CC1CC([*])CC1C(=O)OC,0.218271352,N2
128,[*]C=CC1CC([*])CC1C(=O)OC,0.416956055,O2
129,[*]CC(C)O[*],2.496709539,CH4
130,[*]CC(C)O[*],18.11178491,CO2
131,[*]CC(C)O[*],0.368613909,N2
132,[*]CC(C)O[*],0.704538284,O2
133,[*]c1ccc(OCC(O)COc2ccc(C([*])(C)C)cc2)cc1,6.251335021,CH4
134,[*]c1ccc(OCC(O)COc2ccc(C([*])(C)C)cc2)cc1,18.21298417,CO2
135,[*]c1ccc(OCC(O)COc2ccc(C([*])(C)C)cc2)cc1,1.112780955,N2
136,[*]c1ccc(OCC(O)COc2ccc(C([*])(C)C)cc2)cc1,1.64225397,O2
137,[*]CC([*])(C)C,1.602015663,CH4
138,[*]CC([*])(C)C,3.833460882,CO2
139,[*]CC([*])(C)C,0.257816185,N2
140,[*]CC([*])(C)C,0.447788652,O2
141,[*]CC([*])(C)C#N,14.60895555,CH4
142,[*]CC([*])(C)C#N,104.5359462,CO2
143,[*]CC([*])(C)C#N,2.20339315,N2
144,[*]CC([*])(C)C#N,3.322483132,O2
145,[*]CC([*])(C)C(=O)OC,9.3401541,CH4
146,[*]CC([*])(C)C(=O)OC,59.78421247,CO2
147,[*]CC([*])(C)C(=O)OC,1.302602461,N2
148,[*]CC([*])(C)C(=O)OC,2.123354339,O2
149,[*]CC([*])(C)C(=O)OC(C)(C)C,2.146981218,CH4
150,[*]CC([*])(C)C(=O)OC(C)(C)C,7.448946756,CO2
151,[*]CC([*])(C)C(=O)OC(C)(C)C,0.404506886,N2
152,[*]CC([*])(C)C(=O)OC(C)(C)C,0.643850879,O2
153,[*]CC([*])(C)C(=O)OCCOCC,7.892483229,CH4
154,[*]CC([*])(C)C(=O)OCCOCC,71.40718786,CO2
155,[*]CC([*])(C)C(=O)OCCOCC,1.074383329,N2
156,[*]CC([*])(C)C(=O)OCCOCC,1.850445159,O2
157,[*]CC([*])C,1.217532191,CH4
158,[*]CC([*])C,4.313165572,CO2
159,[*]CC([*])C,0.185919539,N2
160,[*]CC([*])C,0.380822667,O2
161,[*]CC([*])C#N,1.996458352,CH4
162,[*]CC([*])C#N,5.919489956,CO2
163,[*]CC([*])C#N,0.359534081,N2
164,[*]CC([*])C#N,0.572291996,O2
165,[*]CC([*])C(=O)OC,4.160515978,CH4
166,[*]CC([*])C(=O)OC,12.86403962,CO2
167,[*]CC([*])C(=O)OC,0.792537497,N2
168,[*]CC([*])C(=O)OC,1.198595549,O2
169,[*]CC([*])C(=O)OCC,14.60895555,CH4
170,[*]CC([*])C(=O)OCC,104.5359462,CO2
171,[*]CC([*])C(=O)OCC,2.20339315,N2
172,[*]CC([*])C(=O)OCC,3.322483132,O2
173,[*]CC([*])CC,15.22871633,CH4
174,[*]CC([*])CC,132.9864937,CO2
175,[*]CC([*])CC,2.224423081,N2
176,[*]CC([*])CC,3.443564658,O2
177,[*]CC([*])CC(C)C,9.44221019,CH4
178,[*]CC([*])CC(C)C,74.64630393,CO2
